"","AzM0L1","AzM0L2","AzM0L3","AzN0L1","AzN0L2","AzN0L3","AzNdL1","AzNdL2","AzNdL3","CiM0L1","CiM0L2","CiM0L3","CiN0L1","CiN0L2","CiN0L3","CiNdL1","CiNdL2","CiNdL3","ImM0L1","ImM0L2","ImM0L3","ImN0L1","ImN0L2","ImN0L3","ImNdL1","ImNdL2","ImNdL3","CeM0L2","CeM0L3","CeN0L1","CeN0L2","CeN0L3","CeNdL1","CeNdL2","CeNdL3","LeM0L1","LeM0L2","LeM0L3","LeN0L1","LeN0L2","LeN0L3","LeNdL1","LeNdL2","LeNdL3","LiM0L2","LiM0L3","LiN0L1","LiN0L2","LiN0L3","LiNdL1","LiNdL2","LiNdL3","RiM0L1","RiM0L2","RiM0L3","RiN0L1","RiN0L2","RiN0L3","RiNdL1","RiNdL2","RiNdL3","VaM0L1","VaM0L2","VaM0L3","VaN0L1","VaN0L2","VaN0L3","VaNdL1","VaNdL2","VaNdL3","MeM0L1","MeM0L2","MeM0L3","MeN0L2","MeNdL1","MeNdL2","MeNdL3","PeM0L2","PeM0L3","PeN0L2","PeN0L3","PeNdL1","PeNdL2","PeNdL3"
"AzM0L1",1,0.4,0.428571428571428,0.333333333333333,0.125,0.285714285714286,0.222222222222222,0.222222222222222,0.2,0.375,0.0833333333333334,0.25,0.25,0.111111111111111,0.142857142857143,0.222222222222222,0.25,0.285714285714286,0.375,0.285714285714286,0.375,0.285714285714286,0.25,0.25,0.166666666666667,0.285714285714286,0.333333333333333,0.0454545454545455,0.0344827586206896,0.0357142857142857,0.0416666666666666,0.0909090909090909,0,0,0,0,0.2,0,0.117647058823529,0.117647058823529,0.117647058823529,0.142857142857143,0.2,0.105263157894737,0.0399999999999999,0.08,0.153846153846154,0.111111111111111,0.1,0.133333333333333,0.181818181818182,0.142857142857143,0.166666666666667,0.1,0.142857142857143,0.0833333333333334,0.4,0.142857142857143,0.5,0.285714285714286,0.222222222222222,0,0.125,0.0833333333333334,0.333333333333333,0.4,0.4,0.25,0.5,0.25,0.125,0.1,0,0.25,0.0714285714285714,0,0.1,0.076923076923077,0.0833333333333334,0.111111111111111,0.25,0.105263157894737,0.0833333333333334,0.076923076923077
"AzM0L2",0.4,1,0.285714285714286,0.4,0.142857142857143,0.333333333333333,0.428571428571428,0.428571428571428,0.375,0.428571428571428,0.0909090909090909,0.272727272727273,0.285714285714286,0.125,0.166666666666667,0.25,0.285714285714286,0.333333333333333,0.428571428571428,0.333333333333333,0.428571428571428,0.333333333333333,0.285714285714286,0.285714285714286,0.181818181818182,0.6,0.4,0.1,0.0740740740740741,0.037037037037037,0.0434782608695652,0.1,0,0,0,0.1,0.214285714285714,0.0833333333333334,0.125,0.125,0.125,0.15,0.214285714285714,0.176470588235294,0.0416666666666666,0.130434782608696,0.272727272727273,0.1875,0.166666666666667,0.230769230769231,0.2,0.25,0.2,0.111111111111111,0.166666666666667,0.0909090909090909,0.5,0.166666666666667,0.666666666666667,0.333333333333333,0.25,0.1,0.142857142857143,0.0909090909090909,0.4,0.5,0.5,0.285714285714286,0.666666666666667,0.285714285714286,0.333333333333333,0.25,0,0.285714285714286,0.166666666666667,0,0.111111111111111,0.0833333333333334,0.2,0.125,0.285714285714286,0.111111111111111,0.2,0.0833333333333334
"AzM0L3",0.428571428571428,0.285714285714286,1,0.25,0.1,0.222222222222222,0.181818181818182,0.181818181818182,0.166666666666667,0.3,0.0714285714285714,0.214285714285714,0.2,0.0909090909090909,0.111111111111111,0.181818181818182,0.2,0.222222222222222,0.3,0.222222222222222,0.3,0.222222222222222,0.2,0.2,0.142857142857143,0.222222222222222,0.25,0.0416666666666666,0.032258064516129,0.0333333333333334,0.0384615384615385,0.076923076923077,0,0,0,0,0.176470588235294,0,0.105263157894737,0.105263157894737,0.105263157894737,0.130434782608696,0.176470588235294,0.0952380952380953,0.037037037037037,0.0740740740740741,0.133333333333333,0.1,0.0909090909090909,0.117647058823529,0.153846153846154,0.125,0.125,0.0833333333333334,0.111111111111111,0.0714285714285714,0.285714285714286,0.111111111111111,0.333333333333333,0.222222222222222,0.181818181818182,0,0.1,0.0714285714285714,0.25,0.285714285714286,0.285714285714286,0.2,0.333333333333333,0.2,0.1,0.0833333333333334,0.0833333333333334,0.2,0.0625,0,0.0833333333333334,0.0666666666666667,0.0714285714285714,0.0909090909090909,0.2,0.0952380952380953,0.0714285714285714,0.0666666666666667
"AzN0L1",0.333333333333333,0.4,0.25,1,0.125,0.285714285714286,0.222222222222222,0.222222222222222,0.2,0.222222222222222,0.0833333333333334,0.153846153846154,0.25,0.111111111111111,0.333333333333333,0.222222222222222,0.25,0.285714285714286,0.222222222222222,0.285714285714286,0.222222222222222,0.285714285714286,0.428571428571428,0.428571428571428,0.166666666666667,0.285714285714286,0.333333333333333,0.0952380952380953,0.0714285714285714,0.0357142857142857,0.0416666666666666,0.0909090909090909,0,0,0,0.0909090909090909,0.125,0.076923076923077,0.117647058823529,0.1875,0.117647058823529,0.142857142857143,0.125,0.105263157894737,0,0.125,0.153846153846154,0.111111111111111,0.1,0.133333333333333,0.181818181818182,0.142857142857143,0.166666666666667,0.1,0.142857142857143,0.0833333333333334,0.4,0.142857142857143,0.5,0.285714285714286,0.222222222222222,0,0,0,0.333333333333333,0.4,0.4,0.25,0.5,0.25,0.125,0.1,0,0.25,0.0714285714285714,0,0.1,0.076923076923077,0.0833333333333334,0.111111111111111,0.25,0.0499999999999999,0.0833333333333334,0.076923076923077
"AzN0L2",0.125,0.142857142857143,0.1,0.125,1,0.111111111111111,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.076923076923077,0.0666666666666667,0.1,0.375,0.125,0.0909090909090909,0.1,0.111111111111111,0.0909090909090909,0.111111111111111,0.0909090909090909,0.111111111111111,0.375,0.375,0.0714285714285714,0.111111111111111,0.125,0.0434782608695652,0.0333333333333334,0.0344827586206896,0.0399999999999999,0.0833333333333334,0.0434782608695652,0.0357142857142857,0.0434782608695652,0,0.0555555555555556,0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0416666666666666,0.0555555555555556,0.0476190476190477,0,0.037037037037037,0.0666666666666667,0.0499999999999999,0.0454545454545455,0.0588235294117647,0.076923076923077,0.0625,0.142857142857143,0.0909090909090909,0.125,0.076923076923077,0.142857142857143,0.125,0.166666666666667,0.111111111111111,0.0909090909090909,0,0,0,0.125,0.142857142857143,0.142857142857143,0.1,0.166666666666667,0.1,0.111111111111111,0.0909090909090909,0,0.1,0.0666666666666667,0,0.0909090909090909,0.0714285714285714,0.076923076923077,0.1,0.1,0.0476190476190477,0.166666666666667,0.0714285714285714
"AzN0L3",0.285714285714286,0.333333333333333,0.222222222222222,0.285714285714286,0.111111111111111,1,0.2,0.2,0.181818181818182,0.2,0,0.142857142857143,0.222222222222222,0.1,0.125,0.2,0.222222222222222,0.25,0.2,0.25,0.2,0.25,0.222222222222222,0.222222222222222,0.153846153846154,0.25,0.285714285714286,0.0434782608695652,0.0333333333333334,0.0344827586206896,0.0399999999999999,0.0833333333333334,0,0,0,0,0.117647058823529,0,0.111111111111111,0.111111111111111,0.111111111111111,0.0869565217391304,0.117647058823529,0.1,0,0.076923076923077,0.142857142857143,0.105263157894737,0.0952380952380953,0.125,0.166666666666667,0.133333333333333,0.142857142857143,0.0909090909090909,0.125,0.076923076923077,0.333333333333333,0.125,0.4,0.25,0.2,0,0,0,0.285714285714286,0.333333333333333,0.333333333333333,0.222222222222222,0.4,0.222222222222222,0.111111111111111,0.0909090909090909,0,0.222222222222222,0.0666666666666667,0,0.0909090909090909,0.0714285714285714,0.076923076923077,0.1,0.222222222222222,0.0476190476190477,0.076923076923077,0.0714285714285714
"AzNdL1",0.222222222222222,0.428571428571428,0.181818181818182,0.222222222222222,0.0909090909090909,0.2,1,0.272727272727273,0.25,0.272727272727273,0.0666666666666667,0.2,0.181818181818182,0.0833333333333334,0.1,0.4,0.444444444444444,0.5,0.272727272727273,0.2,0.4,0.2,0.181818181818182,0.181818181818182,0.133333333333333,0.333333333333333,0.222222222222222,0.0833333333333334,0.0645161290322581,0.032258064516129,0.037037037037037,0.0714285714285714,0.0399999999999999,0.0333333333333334,0.0399999999999999,0.0714285714285714,0.166666666666667,0.0625,0.1,0.1,0.1,0.125,0.166666666666667,0.142857142857143,0.0357142857142857,0.111111111111111,0.2,0.15,0.136363636363636,0.176470588235294,0.142857142857143,0.1875,0.111111111111111,0.076923076923077,0.1,0.0666666666666667,0.25,0.1,0.285714285714286,0.2,0.166666666666667,0.0714285714285714,0.0909090909090909,0.0666666666666667,0.222222222222222,0.25,0.25,0.181818181818182,0.285714285714286,0.181818181818182,0.2,0.166666666666667,0,0.181818181818182,0.125,0,0.076923076923077,0.0625,0.142857142857143,0.0833333333333334,0.181818181818182,0.0909090909090909,0.142857142857143,0.0625
"AzNdL2",0.222222222222222,0.428571428571428,0.181818181818182,0.222222222222222,0.0909090909090909,0.2,0.272727272727273,1,0.5,0.4,0.142857142857143,0.2,0.181818181818182,0.0833333333333334,0.1,0.166666666666667,0.181818181818182,0.2,0.4,0.2,0.272727272727273,0.2,0.181818181818182,0.181818181818182,0.133333333333333,0.333333333333333,0.222222222222222,0.0833333333333334,0.0645161290322581,0.032258064516129,0.037037037037037,0.0714285714285714,0,0,0,0.0714285714285714,0.166666666666667,0.0625,0.1,0.1,0.157894736842105,0.125,0.166666666666667,0.142857142857143,0.0740740740740741,0.153846153846154,0.2,0.15,0.136363636363636,0.176470588235294,0.142857142857143,0.1875,0.111111111111111,0.076923076923077,0.1,0.0666666666666667,0.25,0.1,0.285714285714286,0.2,0.166666666666667,0.153846153846154,0.2,0.142857142857143,0.222222222222222,0.25,0.25,0.181818181818182,0.285714285714286,0.181818181818182,0.2,0.166666666666667,0,0.181818181818182,0.125,0,0.076923076923077,0.0625,0.142857142857143,0.0833333333333334,0.181818181818182,0.142857142857143,0.142857142857143,0.0625
"AzNdL3",0.2,0.375,0.166666666666667,0.2,0.181818181818182,0.181818181818182,0.25,0.5,1,0.363636363636364,0.0625,0.1875,0.166666666666667,0.076923076923077,0.0909090909090909,0.153846153846154,0.166666666666667,0.181818181818182,0.363636363636364,0.181818181818182,0.25,0.181818181818182,0.166666666666667,0.166666666666667,0.125,0.3,0.2,0.08,0.0625,0.03125,0.0357142857142857,0.0666666666666667,0.0384615384615385,0.032258064516129,0.0384615384615385,0.0666666666666667,0.157894736842105,0.0588235294117647,0.0952380952380953,0.0952380952380953,0.0952380952380953,0.12,0.157894736842105,0.136363636363636,0.0344827586206896,0.107142857142857,0.1875,0.142857142857143,0.130434782608696,0.166666666666667,0.133333333333333,0.176470588235294,0.1,0.0714285714285714,0.0909090909090909,0.0625,0.222222222222222,0.0909090909090909,0.25,0.181818181818182,0.153846153846154,0.0666666666666667,0.0833333333333334,0.0625,0.2,0.222222222222222,0.222222222222222,0.166666666666667,0.25,0.166666666666667,0.181818181818182,0.153846153846154,0,0.166666666666667,0.117647058823529,0,0.0714285714285714,0.0588235294117647,0.133333333333333,0.076923076923077,0.166666666666667,0.0869565217391304,0.214285714285714,0.0588235294117647
"CiM0L1",0.375,0.428571428571428,0.3,0.222222222222222,0.0909090909090909,0.2,0.272727272727273,0.4,0.363636363636364,1,0.142857142857143,0.285714285714286,0.181818181818182,0.0833333333333334,0.1,0.166666666666667,0.181818181818182,0.2,1,0.2,0.4,0.2,0.181818181818182,0.181818181818182,0.133333333333333,0.333333333333333,0.222222222222222,0.0833333333333334,0.0645161290322581,0.032258064516129,0.037037037037037,0.0714285714285714,0,0,0,0.0714285714285714,0.235294117647059,0.0625,0.1,0.1,0.1,0.173913043478261,0.235294117647059,0.142857142857143,0.0740740740740741,0.111111111111111,0.2,0.15,0.136363636363636,0.176470588235294,0.142857142857143,0.1875,0.111111111111111,0.076923076923077,0.1,0.0666666666666667,0.25,0.1,0.285714285714286,0.2,0.166666666666667,0.0714285714285714,0.2,0.142857142857143,0.222222222222222,0.25,0.25,0.181818181818182,0.285714285714286,0.181818181818182,0.2,0.166666666666667,0,0.181818181818182,0.125,0,0.076923076923077,0.0625,0.142857142857143,0.0833333333333334,0.181818181818182,0.142857142857143,0.142857142857143,0.0625
"CiM0L2",0.0833333333333334,0.0909090909090909,0.0714285714285714,0.0833333333333334,0.076923076923077,0,0.0666666666666667,0.142857142857143,0.0625,0.142857142857143,1,0.111111111111111,0,0.0714285714285714,0.0833333333333334,0,0,0,0.142857142857143,0,0.142857142857143,0,0.153846153846154,0.153846153846154,0,0.076923076923077,0,0.076923076923077,0.0606060606060607,0,0,0,0,0,0,0.133333333333333,0.0952380952380953,0.117647058823529,0,0.0434782608695652,0.0909090909090909,0.0740740740740741,0.0952380952380953,0.0399999999999999,0.107142857142857,0.103448275862069,0.0526315789473684,0.0416666666666666,0.0384615384615385,0.0476190476190477,0,0.0499999999999999,0,0,0,0,0,0,0,0,0,0.133333333333333,0.272727272727273,0.2,0,0,0,0,0,0,0.076923076923077,0.0666666666666667,0,0,0.0526315789473684,0,0,0,0.0588235294117647,0,0,0.130434782608696,0.0588235294117647,0
"CiM0L3",0.25,0.272727272727273,0.214285714285714,0.153846153846154,0.0666666666666667,0.142857142857143,0.2,0.2,0.1875,0.285714285714286,0.111111111111111,1,0.133333333333333,0.0625,0.0714285714285714,0.125,0.133333333333333,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143,0.133333333333333,0.133333333333333,0.105263157894737,0.230769230769231,0.153846153846154,0.0714285714285714,0.0571428571428572,0.0285714285714286,0.032258064516129,0.0555555555555556,0,0,0,0.0555555555555556,0.19047619047619,0.0499999999999999,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.148148148148148,0.19047619047619,0.12,0.0645161290322581,0.0967741935483871,0.157894736842105,0.125,0.115384615384615,0.142857142857143,0.111111111111111,0.15,0.076923076923077,0.0588235294117647,0.0714285714285714,0.0526315789473684,0.166666666666667,0.0714285714285714,0.181818181818182,0.142857142857143,0.125,0.0555555555555556,0.142857142857143,0.111111111111111,0.153846153846154,0.166666666666667,0.166666666666667,0.133333333333333,0.181818181818182,0.133333333333333,0.142857142857143,0.125,0,0.133333333333333,0.1,0,0.0588235294117647,0.0499999999999999,0.111111111111111,0.0625,0.133333333333333,0.12,0.111111111111111,0.0499999999999999
"CiN0L1",0.25,0.285714285714286,0.2,0.25,0.1,0.222222222222222,0.181818181818182,0.181818181818182,0.166666666666667,0.181818181818182,0,0.133333333333333,1,0.0909090909090909,0.111111111111111,0.181818181818182,0.2,0.222222222222222,0.181818181818182,0.222222222222222,0.181818181818182,0.222222222222222,0.2,0.2,0.142857142857143,0.222222222222222,0.25,0.0416666666666666,0.032258064516129,0.0689655172413793,0.0384615384615385,0.076923076923077,0,0,0,0,0.176470588235294,0,0.166666666666667,0.105263157894737,0.166666666666667,0.0833333333333334,0.111111111111111,0.0952380952380953,0,0.0740740740740741,0.133333333333333,0.1,0.0909090909090909,0.117647058823529,0.153846153846154,0.125,0.125,0.0833333333333334,0.111111111111111,0.0714285714285714,0.285714285714286,0.111111111111111,0.333333333333333,0.222222222222222,0.181818181818182,0,0,0,0.25,0.285714285714286,0.285714285714286,0.2,0.333333333333333,0.2,0.1,0.0833333333333334,0,0.2,0.0625,0,0.0833333333333334,0.142857142857143,0.0714285714285714,0.2,0.2,0.0454545454545455,0.0714285714285714,0.0666666666666667
"CiN0L2",0.111111111111111,0.125,0.0909090909090909,0.111111111111111,0.375,0.1,0.0833333333333334,0.0833333333333334,0.076923076923077,0.0833333333333334,0.0714285714285714,0.0625,0.0909090909090909,1,0.111111111111111,0.0833333333333334,0.0909090909090909,0.1,0.0833333333333334,0.1,0.0833333333333334,0.1,0.333333333333333,0.333333333333333,0.0666666666666667,0.1,0.111111111111111,0.0416666666666666,0.032258064516129,0.0333333333333334,0.0384615384615385,0.076923076923077,0,0,0,0,0.0526315789473684,0,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.0399999999999999,0.0526315789473684,0.0454545454545455,0,0.0357142857142857,0.0625,0.0476190476190477,0.0434782608695652,0.0555555555555556,0.0714285714285714,0.0588235294117647,0.125,0.0833333333333334,0.111111111111111,0.0714285714285714,0.125,0.111111111111111,0.142857142857143,0.1,0.0833333333333334,0,0,0,0.111111111111111,0.125,0.125,0.0909090909090909,0.142857142857143,0.0909090909090909,0.1,0.0833333333333334,0,0.0909090909090909,0.0625,0,0.0833333333333334,0.0666666666666667,0.0714285714285714,0.0909090909090909,0.0909090909090909,0.0454545454545455,0.0714285714285714,0.0666666666666667
"CiN0L3",0.142857142857143,0.166666666666667,0.111111111111111,0.333333333333333,0.125,0.125,0.1,0.1,0.0909090909090909,0.1,0.0833333333333334,0.0714285714285714,0.111111111111111,0.111111111111111,1,0.1,0.111111111111111,0.125,0.1,0.125,0.1,0.125,0.25,0.25,0.076923076923077,0.125,0.142857142857143,0.0952380952380953,0.0714285714285714,0.0357142857142857,0.0416666666666666,0.0909090909090909,0.0454545454545455,0,0,0.0909090909090909,0.0588235294117647,0.076923076923077,0.0555555555555556,0.117647058823529,0.0555555555555556,0.0434782608695652,0.0588235294117647,0.0499999999999999,0,0.08,0.0714285714285714,0.0526315789473684,0.0476190476190477,0.0625,0.0833333333333334,0.0666666666666667,0.166666666666667,0.1,0.142857142857143,0.0833333333333334,0.166666666666667,0.142857142857143,0.2,0.125,0.1,0,0,0,0.142857142857143,0.166666666666667,0.166666666666667,0.111111111111111,0.2,0.111111111111111,0.125,0.1,0,0.111111111111111,0.0714285714285714,0,0.1,0.076923076923077,0.0833333333333334,0.111111111111111,0.111111111111111,0.0499999999999999,0.0833333333333334,0.076923076923077
"CiNdL1",0.222222222222222,0.25,0.181818181818182,0.222222222222222,0.0909090909090909,0.2,0.4,0.166666666666667,0.153846153846154,0.166666666666667,0,0.125,0.181818181818182,0.0833333333333334,0.1,1,0.444444444444444,0.5,0.166666666666667,0.2,0.166666666666667,0.2,0.181818181818182,0.181818181818182,0.133333333333333,0.2,0.222222222222222,0.0399999999999999,0.03125,0.032258064516129,0.037037037037037,0.0714285714285714,0.0399999999999999,0.0333333333333334,0.0399999999999999,0,0.105263157894737,0,0.1,0.1,0.1,0.08,0.105263157894737,0.142857142857143,0,0.0714285714285714,0.2,0.15,0.136363636363636,0.176470588235294,0.142857142857143,0.1875,0.111111111111111,0.076923076923077,0.1,0.0666666666666667,0.25,0.1,0.285714285714286,0.2,0.166666666666667,0,0,0,0.222222222222222,0.25,0.25,0.3,0.285714285714286,0.181818181818182,0.0909090909090909,0.076923076923077,0,0.181818181818182,0.0588235294117647,0,0.076923076923077,0.0625,0.0666666666666667,0.0833333333333334,0.181818181818182,0.0434782608695652,0.0666666666666667,0.0625
"CiNdL2",0.25,0.285714285714286,0.2,0.25,0.1,0.222222222222222,0.444444444444444,0.181818181818182,0.166666666666667,0.181818181818182,0,0.133333333333333,0.2,0.0909090909090909,0.111111111111111,0.444444444444444,1,0.571428571428571,0.181818181818182,0.222222222222222,0.181818181818182,0.222222222222222,0.2,0.2,0.142857142857143,0.222222222222222,0.25,0.0416666666666666,0.032258064516129,0.0333333333333334,0.0384615384615385,0.076923076923077,0.0416666666666666,0.0344827586206896,0.0416666666666666,0,0.111111111111111,0,0.105263157894737,0.105263157894737,0.105263157894737,0.0833333333333334,0.111111111111111,0.0952380952380953,0,0.0740740740740741,0.133333333333333,0.1,0.0909090909090909,0.117647058823529,0.153846153846154,0.125,0.125,0.0833333333333334,0.111111111111111,0.0714285714285714,0.285714285714286,0.111111111111111,0.333333333333333,0.222222222222222,0.181818181818182,0,0,0,0.25,0.285714285714286,0.285714285714286,0.2,0.333333333333333,0.2,0.1,0.0833333333333334,0,0.2,0.0625,0,0.0833333333333334,0.0666666666666667,0.0714285714285714,0.0909090909090909,0.2,0.0454545454545455,0.0714285714285714,0.0666666666666667
"CiNdL3",0.285714285714286,0.333333333333333,0.222222222222222,0.285714285714286,0.111111111111111,0.25,0.5,0.2,0.181818181818182,0.2,0,0.142857142857143,0.222222222222222,0.1,0.125,0.5,0.571428571428571,1,0.2,0.25,0.2,0.25,0.222222222222222,0.222222222222222,0.153846153846154,0.25,0.285714285714286,0.0434782608695652,0.0333333333333334,0.0344827586206896,0.0399999999999999,0.0833333333333334,0.0434782608695652,0.0357142857142857,0.0434782608695652,0,0.117647058823529,0,0.111111111111111,0.111111111111111,0.111111111111111,0.0869565217391304,0.117647058823529,0.1,0,0.076923076923077,0.142857142857143,0.105263157894737,0.0952380952380953,0.125,0.166666666666667,0.133333333333333,0.142857142857143,0.0909090909090909,0.125,0.076923076923077,0.333333333333333,0.125,0.4,0.25,0.2,0,0,0,0.285714285714286,0.333333333333333,0.333333333333333,0.222222222222222,0.4,0.222222222222222,0.111111111111111,0.0909090909090909,0,0.222222222222222,0.0666666666666667,0,0.0909090909090909,0.0714285714285714,0.076923076923077,0.1,0.222222222222222,0.0476190476190477,0.076923076923077,0.0714285714285714
"ImM0L1",0.375,0.428571428571428,0.3,0.222222222222222,0.0909090909090909,0.2,0.272727272727273,0.4,0.363636363636364,1,0.142857142857143,0.285714285714286,0.181818181818182,0.0833333333333334,0.1,0.166666666666667,0.181818181818182,0.2,1,0.2,0.4,0.2,0.181818181818182,0.181818181818182,0.133333333333333,0.333333333333333,0.222222222222222,0.0833333333333334,0.0645161290322581,0.032258064516129,0.037037037037037,0.0714285714285714,0,0,0,0.0714285714285714,0.235294117647059,0.0625,0.1,0.1,0.1,0.173913043478261,0.235294117647059,0.142857142857143,0.0740740740740741,0.111111111111111,0.2,0.15,0.136363636363636,0.176470588235294,0.142857142857143,0.1875,0.111111111111111,0.076923076923077,0.1,0.0666666666666667,0.25,0.1,0.285714285714286,0.2,0.166666666666667,0.0714285714285714,0.2,0.142857142857143,0.222222222222222,0.25,0.25,0.181818181818182,0.285714285714286,0.181818181818182,0.2,0.166666666666667,0,0.181818181818182,0.125,0,0.076923076923077,0.0625,0.142857142857143,0.0833333333333334,0.181818181818182,0.142857142857143,0.142857142857143,0.0625
"ImM0L2",0.285714285714286,0.333333333333333,0.222222222222222,0.285714285714286,0.111111111111111,0.25,0.2,0.2,0.181818181818182,0.2,0,0.142857142857143,0.222222222222222,0.1,0.125,0.2,0.222222222222222,0.25,0.2,1,0.2,0.25,0.222222222222222,0.222222222222222,0.153846153846154,0.25,0.285714285714286,0.142857142857143,0.107142857142857,0.0714285714285714,0.0833333333333334,0.181818181818182,0.0434782608695652,0.0357142857142857,0.0434782608695652,0.0833333333333334,0.117647058823529,0.0714285714285714,0.111111111111111,0.176470588235294,0.111111111111111,0.136363636363636,0.117647058823529,0.1,0.0384615384615385,0.166666666666667,0.142857142857143,0.105263157894737,0.0952380952380953,0.125,0.272727272727273,0.133333333333333,0.142857142857143,0.0909090909090909,0.125,0.076923076923077,0.333333333333333,0.125,0.4,0.25,0.2,0,0,0,0.285714285714286,0.333333333333333,0.333333333333333,0.222222222222222,0.4,0.222222222222222,0.111111111111111,0.0909090909090909,0,0.222222222222222,0.0666666666666667,0,0.0909090909090909,0.0714285714285714,0.076923076923077,0.1,0.222222222222222,0.0476190476190477,0.076923076923077,0.0714285714285714
