order,lineage
1,AzM0L1
2,AzM0L2
3,AzM0L3
4,AzN0L1
5,AzN0L2
6,AzN0L3
7,AzNdL1
8,AzNdL2
9,AzNdL3
10,CiM0L1
11,CiM0L2
12,CiM0L3
13,CiN0L1
14,CiN0L2
15,CiN0L3
16,CiNdL1
17,CiNdL2
18,CiNdL3
19,ImM0L1
20,ImM0L2
21,ImM0L3
22,ImN0L1
23,ImN0L2
24,ImN0L3
25,ImNdL1
26,ImNdL2
27,ImNdL3
28,CeM0L1
29,CeM0L2
30,CeM0L3
31,CeN0L1
32,CeN0L2
33,CeN0L3
34,CeNdL1
35,CeNdL2
36,CeNdL3
37,LeM0L1
38,LeM0L2
39,LeM0L3
40,LeN0L1
41,LeN0L2
42,LeN0L3
43,LeNdL1
44,LeNdL2
45,LeNdL3
46,LiM0L1
47,LiM0L2
48,LiM0L3
49,LiN0L1
50,LiN0L2
51,LiN0L3
52,LiNdL1
53,LiNdL2
54,LiNdL3
55,RiM0L1
56,RiM0L2
57,RiM0L3
58,RiN0L1
59,RiN0L2
60,RiN0L3
61,RiNdL1
62,RiNdL2
63,RiNdL3
64,VaM0L1
65,VaM0L2
66,VaM0L3
67,VaN0L1
68,VaN0L2
69,VaN0L3
70,VaNdL1
71,VaNdL2
72,VaNdL3
73,MeM0L1
74,MeM0L2
75,MeM0L3
76,MeN0L1
77,MeN0L2
78,MeN0L3
79,MeNdL1
80,MeNdL2
81,MeNdL3
82,PeM0L1
83,PeM0L2
84,PeM0L3
85,PeN0L1
86,PeN0L2
87,PeN0L3
88,PeNdL1
89,PeNdL2
90,PeNdL3